81,186.8
74,143.2
82,164.6
31,101.8
45,104.0
40,103.0
103,205.4
-37,-56.6
96,209.8
104,233.2
82,190.6
92,197.6
19,76.2
116,251.8
-39,-43.2
87,185.6
29,114.2
48,126.4
20,92.0
114,223.2
103,227.4
9,44.2
26,60.8
96,216.8
-18,20.6
116,267.8
96,175.8
-26,6.2
81,163.8
86,188.8
-17,2.4
63,132.4
4,37.2
77,165.6
27,83.6
6,26.8
63,135.4
41,83.8
52,129.6
57,128.6
-21,5.2
116,218.8
102,186.6
61,130.8
106,198.8
112,251.6
18,43.4
9,56.2
-17,-27.6
61,164.8
43,134.4
4,23.2
-15,-11.0
-26,-14.8
35,85.0
80,196.0
110,219.0
-31,-33.8
-34,-5.2
-31,-20.8
96,216.8
24,56.2
46,134.8
16,89.8
109,255.2
-41,-35.8
83,211.4
90,168.0
19,91.2
94,231.2
32,100.6
9,43.2
-11,24.2
91,209.8
-43,-61.4
-37,-15.6
-33,-54.4
104,225.2
93,216.4
101,229.8
49,91.2
115,263.0
11,55.8
48,125.4
20,41.0
10,77.0
-26,-32.8
49,135.2
91,219.8
13,62.4
38,79.4
112,247.6
112,234.6
39,90.2
31,97.8
59,141.2
110,206.0
-7,-2.6
82,203.6
98,213.4
-23,7.6
104,225.2
-8,35.6
33,91.4
112,221.6
-42,-71.6
-32,-33.6
60,155.0
-42,-23.6
14,53.2
0,51.0
-25,-41.0
92,191.6
67,166.6
102,236.6
12,30.6
56,133.8
52,128.6
120,247.0
58,110.4
7,49.6
12,56.6
75,137.0
-37,-49.6
76,143.8
-41,-21.8
-18,25.6
-13,12.6
65,140.0
64,174.2
-11,18.2
61,158.8
48,106.4
58,156.4
-6,2.2
76,184.8
8,55.4
118,273.4
-24,-16.2
-14,33.8
-36,-42.8
33,72.4
17,52.6
-8,47.6
84,177.2
21,55.8
51,125.8
59,119.2
6,18.8
115,232.0
-26,9.2
-29,-24.2
-19,1.8
-12,-11.6
29,89.2
-1,31.2
-12,8.4
49,112.2
81,184.8
28,73.4
32,92.6
62,156.6
9,47.2
29,55.2
-20,-9.0
1,9.8
54,103.2
66,134.8
96,208.8
-22,22.4
-13,-0.4
62,149.6
20,76.0
48,100.4
31,103.8
115,246.0
-17,-10.6
97,220.6
51,126.8
38,93.4
51,151.8
-42,-23.6
60,152.0
79,168.2
-10,30.0
33,114.4
100,240.0
67,142.6
55,117.0
-18,27.6
116,244.8
24,60.2
25,75.0
-22,-25.6
113,210.4
39,95.2
3,66.4
111,209.8
-7,16.4
58,106.4
40,112.0
-2,54.4
68,175.4
7,44.6
109,218.2
112,241.6
110,200.0
13,69.4
-28,5.6
120,266.0
91,199.8
14,58.2
92,171.6
17,50.6
-21,17.2
6,35.8
-29,-13.2
107,207.6
99,228.2
-21,-17.8
114,237.2
-43,-68.4
9,41.2
-29,-21.2
74,176.2
42,90.6
-24,7.8
56,102.8
24,75.2
16,41.8
101,218.8
-15,26.0
-4,12.8
83,202.4
40,103.0
77,164.6
0,29.0
34,82.2
87,163.6
1,27.8
18,85.4
109,231.2
-18,-20.4
53,121.4
39,85.2
-27,-9.6
67,143.6
1,48.8
116,228.8
117,272.6
-14,33.8
-23,14.6
-4,40.8
-39,-39.2
17,61.6
-1,41.2
5,47.0
-19,-21.2
-9,28.8
63,132.4
96,229.8
-33,-31.4
49,113.2
109,214.2
-13,1.6
80,183.0
91,215.8
72,170.6
110,200.0
-29,-45.2
-19,5.8
43,122.4
66,120.8
-22,19.4
56,118.8
33,121.4
113,205.4
43,99.4
6,71.8
30,108.0
6,28.8
-16,16.2
12,59.6
42,79.6
89,205.2
54,129.2
15,81.0
107,239.6
6,30.8
67,161.6
1,45.8
0,32.0
44,117.2
74,147.2
38,79.4
10,38.0
64,162.2
6,12.8
24,50.2
75,188.0
